"2478","George Allan England"
"1147","Ann Ward Radcliffe"
"1146","Harold Bell Wright"
"2477","Emily Paret Atwater"
"1145","Robert J. C. Stead"
"1144","Owen Morgan Edwards"
"1165","N. D'Anvers"
"2496","Ida Lee"
"1164","Jean-François-Albert du Pouget Nadaillac"
"2495","Robert Gordon Anderson"
"1163","Albert Ernest Jenks"
"2494","Austin Bishop"
"1162","William McDougall"
"1161","Charles Hose"
"2491","Johanna Spyri"
"1160","John Hargrave"
"2490","George Whitfield Ray"
"1159","Michael Earls"
"2489","Charles Felton Pidgin"
"1158","Adam Smith"
"1157","E. B. (Edward Bouverie) Pusey"
"2488","Henry F. (Henry Frey) Lutz"
"1156","Saint Augustine"
"2486","Carl Lumholtz"
"1155","Emma Lazarus"
"1176","Leroy Scott"
"1175","Chapman Coleman"
"1174","Philip Gibbs"
"1173","J. Hampton (Joseph Hampton) Moore"
"1172","Vivia Hemphill"
"1170","Charles Warren Stoddard"
"1169","Inez Haynes Gillmore"
"1168","Domingos Paes"
"2499","A. Frances (Abby Frances) Friebe"
"1167","Fernão Nunes"
"2498","Ellen C. Babbitt"
"2497","Coningsby Dawson"
"1166","Robert Sewell"
"25869","George Henry Sumner"
"25862","Justin H. (Justin Huntly) McCarthy"
"1187","Philip Dormer Stanhope Chesterfield"
"25861","John Kent"
"1186","Eugène Sue"
"1185","Edward Haies"
"1184","Walter Bigges"
"25863","La Mara"
"1183","Luís de Camões"
"1182","Richard Griffin Braybrooke"
"1181","Samuel Pepys"
"1180","Confucius"
"36528","Cornelia A. P. (Cornelia Atwood Pratt) Comer"
"37859","John Alan Lyde Caunter"
"1179","Thomas Bulfinch"
"25860","Mabel G. Taggart"
"1178","Ottilie A. (Ottilia Adelina) Liljencrantz"
"1177","Henry Wood"
"36520","Eleanour Sinclair Rohde"
"37851","Frederick C. Davis"
"37852","John Henry Ingram"
"36521","William K. (William Kurtz) Wimsatt"
"36522","Thomas Warton"
"37853","Matthew W. Alderson"
"37854","John Foster Kirk"
"36523","Rodney M. Baine"
"36524","Kenneth W. Andersen"
"37855","Cadwallader Colden"
"36525","Thomas Daniels"
"37856","Christopher Wilson"
"37857","P. (Peter) Coffey"
"1190","Arthur G. Chater"
"25873","A. M. Lockyer"
"1198","J. M. (John Medows) Rodwell"
"25875","Ralph Bergengren"
"1196","E. L. (Ethel Lillian) Voynich"
"1195","W. E. (William Ewart) Gladstone"
"25874","G. Boare"
"1194","Marietta Holley"
"25876","Jacky Dandy"
"1193","Marcus Andrew Hislop Clarke"
"1192","Annie Hamilton Donnell"
"25879","T. W. H. (Thomas William Hodgson) Crosland"
"1191","James Bryce Bryce"
"25878","J. R. Monsell"
"36517","Lee R. (Lee Raymond) Dice"
"37848","William F. Fleming"
"36518","Nathan Banks"
"37849","George Savile Halifax"
"36519","Amelia Stratton Comfield"
"1189","Roald Amundsen"
"1188","Bliss Perry"
"37840","H. G. (Hyman Gerson) Enelow"
